book,lang,source_order,page_n,facs,line_id,source_div_n,source_xml_id,printed_primary,printed_alternate,heading_label,source_heading_text,generated_n,generated_label,generated_source_label,visible_chapter_title,paired_generated_n,issue_codes,image_url
5,grc,789,720,page_images/page-0754.png,,43,spr-ch-5.43,μγ,,Περὶ ῥητινίτου οἴνου.,Κεφ. μγ΄. [Περὶ ῥητινίτου οἴνου.],5.43,Περὶ ῥητινίτου οἴνου,Κεφ. μγ΄. [Περὶ ῥητινίτου οἴνου.],Κεφ. μγ΄. [Περὶ ῥητινίτου οἴνου.],5.43,,"https://iiif.archive.org/image/iiif/3/b23982500_0001%2Fb23982500_0001_jp2.zip%2Fb23982500_0001_jp2%2Fb23982500_0001_0754.jp2/full/1200,/0/default.jpg"
5,la,1703,720,page_images/page-0754.png,,,,XLII,,De vino e sycomoris factitio.,Cap. XLII. [De vino e sycomoris factitio.] Fit et,5.42,De vino e sycomoris factitio,Cap. XLII. [De vino e sycomoris factitio.],,5.42,,"https://iiif.archive.org/image/iiif/3/b23982500_0001%2Fb23982500_0001_jp2.zip%2Fb23982500_0001_jp2%2Fb23982500_0001_0754.jp2/full/1200,/0/default.jpg"
5,la,1704,720,page_images/page-0754.png,spr-lb-5-0754-14,,,XLIII,,De vino resinato.,Cap. XLIII. [De vino resinato.] Resinatum vinum,5.43,De vino resinato,Cap. XLIII. [De vino resinato.],,5.43,,"https://iiif.archive.org/image/iiif/3/b23982500_0001%2Fb23982500_0001_jp2.zip%2Fb23982500_0001_jp2%2Fb23982500_0001_0754.jp2/full/1200,/0/default.jpg"
5,grc,790,721,page_images/page-0755.png,,44,spr-ch-5.44,μδ,,Περὶ στροβιλίτου οἴνου.,Κεφ. μδ΄. [Περὶ στροβιλίτου οἴνου.],5.44,Περὶ στροβιλίτου οἴνου,Κεφ. μδ΄. [Περὶ στροβιλίτου οἴνου.],Κεφ. μδ΄. [Περὶ στροβιλίτου οἴνου.],5.44,,"https://iiif.archive.org/image/iiif/3/b23982500_0001%2Fb23982500_0001_jp2.zip%2Fb23982500_0001_jp2%2Fb23982500_0001_0755.jp2/full/1200,/0/default.jpg"
5,grc,791,721,page_images/page-0755.png,,45,spr-ch-5.45,με,,Περὶ κεδρίνου.,Κεφ. με΄. [Περὶ κεδρίνου.],5.45,Περὶ κεδρίνου,Κεφ. με΄. [Περὶ κεδρίνου.],Κεφ. με΄. [Περὶ κεδρίνου.],5.45,,"https://iiif.archive.org/image/iiif/3/b23982500_0001%2Fb23982500_0001_jp2.zip%2Fb23982500_0001_jp2%2Fb23982500_0001_0755.jp2/full/1200,/0/default.jpg"
5,la,1705,721,page_images/page-0755.png,spr-lb-5-0755-11,,,XLIV,,De vino strobilite.,"Cap. XLIV. [De vino strobilite.] Strobilites fit,",5.44,De vino strobilite,Cap. XLIV. [De vino strobilite.],,5.44,,"https://iiif.archive.org/image/iiif/3/b23982500_0001%2Fb23982500_0001_jp2.zip%2Fb23982500_0001_jp2%2Fb23982500_0001_0755.jp2/full/1200,/0/default.jpg"
5,la,1706,721,page_images/page-0755.png,spr-lb-5-0755-15,,,XLV,,De vino cedrino.,"Cap. XLV. [De vino cedrino.] Cedrinum, iunipe-",5.45,De vino cedrino,Cap. XLV. [De vino cedrino.],,5.45,,"https://iiif.archive.org/image/iiif/3/b23982500_0001%2Fb23982500_0001_jp2.zip%2Fb23982500_0001_jp2%2Fb23982500_0001_0755.jp2/full/1200,/0/default.jpg"
5,grc,792,722,page_images/page-0756.png,,46,spr-ch-5.46,μϛ,,Περὶ ἀρκευθιδίου οἴνου.,Κεφ. μϛ΄. [Περὶ ἀρκευθιδίου οἴνου.],5.46,Περὶ ἀρκευθιδίου οἴνου,Κεφ. μϛ΄. [Περὶ ἀρκευθιδίου οἴνου.],Κεφ. μϛ΄. [Περὶ ἀρκευθιδίου οἴνου.],5.46,,"https://iiif.archive.org/image/iiif/3/b23982500_0001%2Fb23982500_0001_jp2.zip%2Fb23982500_0001_jp2%2Fb23982500_0001_0756.jp2/full/1200,/0/default.jpg"
5,grc,793,722,page_images/page-0756.png,,47,spr-ch-5.47,μζ,,Περὶ κεδρίτου.,Κεφ. μζ΄. [Περὶ κεδρίτου.],5.47,Περὶ κεδρίτου,Κεφ. μζ΄. [Περὶ κεδρίτου.],Κεφ. μζ΄. [Περὶ κεδρίτου.],5.47,,"https://iiif.archive.org/image/iiif/3/b23982500_0001%2Fb23982500_0001_jp2.zip%2Fb23982500_0001_jp2%2Fb23982500_0001_0756.jp2/full/1200,/0/default.jpg"
5,la,1707,722,page_images/page-0756.png,spr-lb-5-0756-12,,,XLVI,,De iuniperino vino.,Cap. XLVI. [De iuniperino vino.] Fit et e baccis,5.46,De iuniperino vino,Cap. XLVI. [De iuniperino vino.],,5.46,,"https://iiif.archive.org/image/iiif/3/b23982500_0001%2Fb23982500_0001_jp2.zip%2Fb23982500_0001_jp2%2Fb23982500_0001_0756.jp2/full/1200,/0/default.jpg"
