filename,prompt_tokens,candidates_tokens,status,timestamp
b23982500_0002_0411.jp2,829,6938,ok,2026-05-16T13:12:19.088511+00:00
b23982500_0002_0409.jp2,829,11653,ok,2026-05-16T13:12:25.720758+00:00
b23982500_0002_0413.jp2,829,7717,ok,2026-05-16T13:12:51.049971+00:00
b23982500_0002_0414.jp2,829,9544,ok,2026-05-16T13:13:09.359008+00:00
b23982500_0002_0417.jp2,829,5075,ok,2026-05-16T13:13:10.610357+00:00
b23982500_0002_0416.jp2,829,7565,ok,2026-05-16T13:13:20.780337+00:00
b23982500_0002_0418.jp2,829,4063,ok,2026-05-16T13:13:29.395499+00:00
b23982500_0002_0415.jp2,829,11163,ok,2026-05-16T13:13:39.162030+00:00
b23982500_0002_0419.jp2,829,5961,ok,2026-05-16T13:13:59.852787+00:00
b23982500_0002_0421.jp2,829,6275,ok,2026-05-16T13:14:11.177740+00:00
b23982500_0002_0420.jp2,829,8048,ok,2026-05-16T13:14:15.955097+00:00
b23982500_0002_0422.jp2,829,6477,ok,2026-05-16T13:14:22.270380+00:00
b23982500_0002_0423.jp2,829,7350,ok,2026-05-16T13:14:35.131475+00:00
b23982500_0002_0426.jp2,829,6230,ok,2026-05-16T13:15:05.570686+00:00
b23982500_0002_0425.jp2,829,7093,ok,2026-05-16T13:15:08.620433+00:00
b23982500_0002_0428.jp2,829,8072,ok,2026-05-16T13:15:38.298655+00:00
b23982500_0002_0427.jp2,829,13543,ok,2026-05-16T13:15:50.933547+00:00
b23982500_0002_0429.jp2,829,6307,ok,2026-05-16T13:15:59.452417+00:00
b23982500_0002_0431.jp2,829,6148,ok,2026-05-16T13:16:26.641583+00:00
b23982500_0002_0430.jp2,829,10845,ok,2026-05-16T13:16:30.692838+00:00
b23982500_0002_0433.jp2,829,5734,ok,2026-05-16T13:16:47.582774+00:00
b23982500_0002_0432.jp2,829,8011,ok,2026-05-16T13:16:52.060191+00:00
b23982500_0002_0434.jp2,829,8857,ok,2026-05-16T13:17:37.574207+00:00
b23982500_0002_0437.jp2,829,6369,ok,2026-05-16T13:17:42.680014+00:00
b23982500_0002_0435.jp2,829,9416,ok,2026-05-16T13:17:45.591549+00:00
b23982500_0002_0436.jp2,829,6932,ok,2026-05-16T13:17:47.187045+00:00
b23982500_0002_0424.jp2,829,8691,ok,2026-05-16T13:17:51.771377+00:00
b23982500_0002_0439.jp2,829,4310,ok,2026-05-16T13:18:29.690407+00:00
b23982500_0002_0441.jp2,829,6829,ok,2026-05-16T13:18:48.536350+00:00
b23982500_0002_0440.jp2,829,8257,ok,2026-05-16T13:18:59.300139+00:00
b23982500_0002_0438.jp2,829,9792,ok,2026-05-16T13:19:04.125734+00:00
b23982500_0002_0442.jp2,829,8867,ok,2026-05-16T13:19:35.747900+00:00
b23982500_0002_0443.jp2,829,9102,ok,2026-05-16T13:19:54.721691+00:00
b23982500_0002_0445.jp2,829,6981,ok,2026-05-16T13:20:07.474073+00:00
b23982500_0002_0444.jp2,829,6008,ok,2026-05-16T13:20:08.720201+00:00
b23982500_0002_0446.jp2,829,9116,ok,2026-05-16T13:20:43.307894+00:00
b23982500_0002_0449.jp2,829,5860,ok,2026-05-16T13:20:58.555701+00:00
b23982500_0002_0447.jp2,829,8698,ok,2026-05-16T13:21:02.425614+00:00
b23982500_0002_0450.jp2,829,6996,ok,2026-05-16T13:21:12.741365+00:00
b23982500_0002_0448.jp2,829,8895,ok,2026-05-16T13:21:21.868502+00:00
b23982500_0002_0451.jp2,829,6021,ok,2026-05-16T13:21:32.594443+00:00
b23982500_0002_0453.jp2,829,6090,ok,2026-05-16T13:21:52.983776+00:00
b23982500_0002_0452.jp2,829,6915,ok,2026-05-16T13:21:54.823929+00:00
b23982500_0002_0454.jp2,829,5548,ok,2026-05-16T13:21:58.745874+00:00
b23982500_0002_0456.jp2,829,5935,ok,2026-05-16T13:22:22.049517+00:00
b23982500_0002_0455.jp2,829,10433,ok,2026-05-16T13:22:39.980000+00:00
b23982500_0002_0459.jp2,829,7605,ok,2026-05-16T13:22:57.506151+00:00
b23982500_0002_0457.jp2,829,11784,ok,2026-05-16T13:23:18.589280+00:00
b23982500_0002_0458.jp2,829,13332,ok,2026-05-16T13:23:29.494184+00:00
b23982500_0002_0460.jp2,829,13557,ok,2026-05-16T13:23:56.812655+00:00
b23982500_0002_0462.jp2,829,8405,ok,2026-05-16T13:24:00.124217+00:00
b23982500_0002_0463.jp2,829,7276,ok,2026-05-16T13:24:14.830115+00:00
b23982500_0002_0464.jp2,829,8309,ok,2026-05-16T13:24:33.139843+00:00
b23982500_0002_0466.jp2,829,4610,ok,2026-05-16T13:24:40.318981+00:00
b23982500_0002_0467.jp2,829,5932,ok,2026-05-16T13:25:04.205782+00:00
b23982500_0002_0465.jp2,829,9891,ok,2026-05-16T13:25:08.198837+00:00
b23982500_0002_0468.jp2,829,4801,ok,2026-05-16T13:25:13.770540+00:00
b23982500_0002_0469.jp2,829,7294,ok,2026-05-16T13:25:35.415521+00:00
b23982500_0002_0470.jp2,829,5446,ok,2026-05-16T13:25:49.468106+00:00
b23982500_0002_0471.jp2,829,7106,ok,2026-05-16T13:26:02.211171+00:00
b23982500_0002_0472.jp2,829,6370,ok,2026-05-16T13:26:06.843711+00:00
b23982500_0002_0474.jp2,829,6126,ok,2026-05-16T13:26:38.171338+00:00
b23982500_0002_0476.jp2,829,4935,ok,2026-05-16T13:26:50.849430+00:00
b23982500_0002_0473.jp2,829,11483,ok,2026-05-16T13:26:58.054963+00:00
b23982500_0002_0475.jp2,829,8939,ok,2026-05-16T13:27:08.935580+00:00
b23982500_0002_0461.jp2,829,7858,ok,2026-05-16T13:27:36.134876+00:00
b23982500_0002_0478.jp2,829,6940,ok,2026-05-16T13:27:41.900391+00:00
b23982500_0002_0479.jp2,829,7163,ok,2026-05-16T13:27:53.550593+00:00
b23982500_0002_0480.jp2,829,5752,ok,2026-05-16T13:27:54.313354+00:00
b23982500_0002_0477.jp2,829,10785,ok,2026-05-16T13:27:55.967236+00:00
b23982500_0002_0481.jp2,829,4970,ok,2026-05-16T13:28:23.460853+00:00
b23982500_0002_0484.jp2,829,5993,ok,2026-05-16T13:28:48.120821+00:00
b23982500_0002_0483.jp2,829,8802,ok,2026-05-16T13:29:03.119080+00:00
b23982500_0002_0482.jp2,829,8898,ok,2026-05-16T13:29:07.114346+00:00
b23982500_0002_0485.jp2,829,8778,ok,2026-05-16T13:29:32.152799+00:00
b23982500_0002_0486.jp2,829,5449,ok,2026-05-16T13:29:33.667968+00:00
b23982500_0002_0488.jp2,829,5256,ok,2026-05-16T13:29:44.802750+00:00
b23982500_0002_0489.jp2,829,7403,ok,2026-05-16T13:29:59.326246+00:00
b23982500_0002_0487.jp2,829,9915,ok,2026-05-16T13:30:05.971728+00:00
b23982500_0002_0493.jp2,829,4854,ok,2026-05-16T13:30:38.639374+00:00
b23982500_0002_0492.jp2,829,7591,ok,2026-05-16T13:30:44.643927+00:00
b23982500_0002_0491.jp2,829,10614,ok,2026-05-16T13:30:51.102695+00:00
b23982500_0002_0490.jp2,829,11000,ok,2026-05-16T13:30:53.008827+00:00
b23982500_0002_0494.jp2,829,6758,ok,2026-05-16T13:30:58.237008+00:00
b23982500_0002_0498.jp2,829,3836,ok,2026-05-16T13:31:29.262118+00:00
b23982500_0002_0496.jp2,829,5214,ok,2026-05-16T13:31:29.979199+00:00
b23982500_0002_0497.jp2,829,5968,ok,2026-05-16T13:31:40.422863+00:00
b23982500_0002_0495.jp2,829,8999,ok,2026-05-16T13:31:45.255296+00:00
b23982500_0002_0499.jp2,829,6983,ok,2026-05-16T13:31:53.631263+00:00
b23982500_0002_0501.jp2,829,5088,ok,2026-05-16T13:32:12.039298+00:00
b23982500_0002_0502.jp2,829,6532,ok,2026-05-16T13:32:31.506136+00:00
b23982500_0002_0503.jp2,829,8630,ok,2026-05-16T13:32:48.968420+00:00
b23982500_0002_0500.jp2,829,11117,ok,2026-05-16T13:32:53.974292+00:00
b23982500_0002_0505.jp2,829,7851,ok,2026-05-16T13:33:08.809078+00:00
b23982500_0002_0506.jp2,829,5716,ok,2026-05-16T13:33:17.708325+00:00
b23982500_0002_0504.jp2,829,12093,ok,2026-05-16T13:33:24.947842+00:00
b23982500_0002_0508.jp2,829,7635,ok,2026-05-16T13:33:51.185604+00:00
b23982500_0002_0510.jp2,829,3912,ok,2026-05-16T13:33:51.908939+00:00
b23982500_0002_0509.jp2,829,6855,ok,2026-05-16T13:34:01.223376+00:00
b23982500_0002_0507.jp2,829,10953,ok,2026-05-16T13:34:06.384754+00:00
b23982500_0002_0511.jp2,829,8190,ok,2026-05-16T13:34:23.559527+00:00
b23982500_0002_0513.jp2,829,5523,ok,2026-05-16T13:34:36.111305+00:00
b23982500_0002_0512.jp2,829,5950,ok,2026-05-16T13:34:41.737452+00:00
b23982500_0002_0515.jp2,829,7356,ok,2026-05-16T13:35:02.500311+00:00
b23982500_0002_0514.jp2,829,8550,ok,2026-05-16T13:35:03.361376+00:00
b23982500_0002_0516.jp2,829,6610,ok,2026-05-16T13:35:15.769231+00:00
b23982500_0002_0517.jp2,829,4899,ok,2026-05-16T13:35:19.090967+00:00
b23982500_0002_0518.jp2,829,7520,ok,2026-05-16T13:35:39.908420+00:00
b23982500_0002_0522.jp2,829,5796,ok,2026-05-16T13:36:04.517312+00:00
b23982500_0002_0519.jp2,829,8134,ok,2026-05-16T13:36:07.106567+00:00
b23982500_0002_0520.jp2,829,10552,ok,2026-05-16T13:36:28.102111+00:00
b23982500_0002_0523.jp2,829,6698,ok,2026-05-16T13:36:31.323277+00:00
b23982500_0002_0521.jp2,829,11068,ok,2026-05-16T13:36:32.847668+00:00
b23982500_0002_0525.jp2,829,3438,ok,2026-05-16T13:36:38.455658+00:00
b23982500_0002_0524.jp2,829,5451,ok,2026-05-16T13:36:49.847369+00:00
b23982500_0002_0527.jp2,829,6846,ok,2026-05-16T13:37:21.460156+00:00
b23982500_0002_0526.jp2,829,7636,ok,2026-05-16T13:37:28.561866+00:00
b23982500_0002_0528.jp2,829,7952,ok,2026-05-16T13:37:34.463125+00:00
b23982500_0002_0530.jp2,829,6968,ok,2026-05-16T13:37:43.635713+00:00
b23982500_0002_0529.jp2,829,9791,ok,2026-05-16T13:37:48.158640+00:00
b23982500_0002_0531.jp2,829,5524,ok,2026-05-16T13:38:06.781363+00:00
b23982500_0002_0532.jp2,829,7265,ok,2026-05-16T13:38:27.477555+00:00
b23982500_0002_0534.jp2,829,5921,ok,2026-05-16T13:38:32.783855+00:00
b23982500_0002_0535.jp2,829,6859,ok,2026-05-16T13:38:39.185099+00:00
b23982500_0002_0537.jp2,829,6875,ok,2026-05-16T13:39:19.857101+00:00
b23982500_0002_0538.jp2,829,6025,ok,2026-05-16T13:39:20.503621+00:00
b23982500_0002_0539.jp2,829,6176,ok,2026-05-16T13:39:29.359036+00:00
b23982500_0002_0536.jp2,829,12226,ok,2026-05-16T13:39:30.188539+00:00
b23982500_0002_0541.jp2,829,6044,ok,2026-05-16T13:40:08.763849+00:00
b23982500_0002_0533.jp2,829,6239,ok,2026-05-16T13:40:13.631439+00:00
b23982500_0002_0540.jp2,829,7607,ok,2026-05-16T13:40:19.840898+00:00
b23982500_0002_0543.jp2,829,5991,ok,2026-05-16T13:40:20.789482+00:00
b23982500_0002_0542.jp2,829,9606,ok,2026-05-16T13:40:42.281254+00:00
b23982500_0002_0544.jp2,829,7096,ok,2026-05-16T13:41:03.975059+00:00
b23982500_0002_0545.jp2,829,8836,ok,2026-05-16T13:41:26.003008+00:00
b23982500_0002_0546.jp2,829,11035,ok,2026-05-16T13:41:38.892442+00:00
b23982500_0002_0547.jp2,829,8846,ok,2026-05-16T13:41:47.217592+00:00
b23982500_0002_0548.jp2,829,5436,ok,2026-05-16T13:41:47.826654+00:00
b23982500_0002_0549.jp2,829,6858,ok,2026-05-16T13:42:18.320282+00:00
b23982500_0002_0551.jp2,829,5623,ok,2026-05-16T13:42:31.835093+00:00
b23982500_0002_0550.jp2,829,8367,ok,2026-05-16T13:42:40.836218+00:00
b23982500_0002_0552.jp2,829,9594,ok,2026-05-16T13:42:58.628763+00:00
